,,Control,Control,Control,2 µM,2 µM,2 µM,1 µM,1 µM,1 µM,500 nM,500 nM,500 nM,250 nM,250 nM,250 nM,125 nM,125 nM,125 nM,62.5nM,62.5 nM,62.5 nM,31.25nM,31.25nM,31.25nM,15.625nM,15.625nM,15.625nM,7.8 nM,7.8 nM,7.8 nM,3.9nM,3.9nM,3.9nM,1.9nM,1.9nM,1.9nM
00:00,,422,416,668,1183,1342,1605,971,1095,675,630,594,606,671,374,414,434,635,332,543,380,347,357,372,448,313,307,460,289,398,275,447,291,369,430,355,409
00:15,,880,691,737,4473,5343,5907,4473,4189,3833,3457,2876,3427,2225,1890,2000,1672,1374,1811,1085,1216,994,875,957,711,562,746,869,620,672,693,904,663,829,942,803,733
00:30,,752.5,683.5,828.5,10693.5,11135.5,12040.5,10897.5,11141.5,9584.5,8453.5,7655.5,8444.5,6485.5,5649.5,5863.5,4679.5,4418.5,4258.5,3269.5,2846.5,2789.5,2167.5,2668.5,2252.5,1353.5,1531.5,1337.5,969.5,1156.5,1224.5,1192.5,1129.5,998.5,735.5,1163.5,1053.5
00:45,,688.5,724.5,751.5,17221.5,17660.5,18375.5,17724.5,18390.5,17549.5,14804.5,14770.5,14160.5,11740.5,10938.5,10818.5,9296.5,9415.5,8492.5,6469.5,6231.5,5648.5,4281.5,4978.5,3574.5,2826.5,2754.5,2326.5,1704.5,1947.5,1746.5,1687.5,1926.5,1244.5,982.5,1383.5,1243.5
01:00,,857.5,973.5,1005.5,21783.5,22908.5,22941.5,25315.5,23362.5,22076.5,21066.5,20718.5,21401.5,17531.5,17279.5,16416.5,14500.5,14119.5,13264.5,10002.5,10396.5,8552.5,7747.5,8671.5,7063.5,4462.5,5070.5,4405.5,2994.5,3689.5,2575.5,2318.5,2404.5,2102.5,1406.5,1589.5,1648.5
01:15,,887,816,661,26819,27356,28178,30732,31056,28086,28700,27413,27062,22635,23497,21156,20010,18986,18976,14123,14020,12645,10828,11418,9641,6230,7990,5478,4256,4992,3035,3079,3917,2221,1800,2276,2019
01:30,,725,950,950,32053,32959,32758,36936,38416,35262,34211,33766,34893,28448,28875,27910,23435,25008,23985,18804,18626,16101,15036,15452,13156,8278,9740,7103,5069,7548,4748,3665,4739,3312,2265,2867,2481
01:45,,922,865,946,38712,38924,38938,46140,45701,41724,41130,40516,40277,34449,35783,33283,30202,30440,30043,23937,23590,20768,17676,19311,16710,10566,12804,9396,6409,9079,6407,4708,5876,3765,2851,3712,2602
02:00,,942,1017,926,46080,45074,45453,55607,54283,50587,51002,48593,48784,41188,42465,39694,36045,38706,38107,29565,29246,27422,23924,23997,20137,13707,16466,12324,8077,11629,7841,5832,7726,4012,3272,4368,3932
02:15,,1008,1093,1120,51750,52176,50918,64141,62762,56885,57381,56811,56169,48570,50706,48065,44023,46246,44809,36613,37437,32143,28292,29178,26437,16519,20290,14602,10363,14586,9554,6871,8986,5702,3691,5336,4334
